UPM,VIV_SEL,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,LOC,CD,PER,R_DEF,H_MUD,SEL_SUST,TIPO_CUEST,N_ENT,BP1_1,BP1_2_01,BP1_2_02,BP1_2_03,BP1_2_04,BP1_2_05,BP1_2_06,BP1_2_07,BP1_2_08,BP1_2_09,BP1_2_10,BP1_2_11,BP1_2_12,BP1_3,BP1_4_1,BP1_4_2,BP1_4_3,BP1_4_4,BP1_4_5,BP1_4_6,BP1_5_1,BP1_5_2,BP1_5_3,BP1_5_4,BP1_5_5,BP1_6_1,BP1_6_2,BP1_6_3,BP1_6_4,BP1_6_5,BP1_6_6,BP1_6_7,BP1_6_8,BP1_6_9,BP1_6_10,BP1_6_11,BP1_6_12,BP1_6_13,BP1_6_99,BP1_7_1,BP1_7_2,BP1_7_3,BP1_7_4,BP1_7_5,BP1_7_6,BP1_8_1,BP1_8_2,BP1_8_3,BP1_8_4,BP1_8_5,BP1_8_6,BP1_9_1,BP1_9_2,BP1_9_3,BP1_9_4,BP1_9_5,BP1_9_6,BP2_1,BP2_2_01,BP2_2_02,BP2_2_03,BP2_2_04,BP2_2_05,BP2_2_06,BP2_2_07,BP2_2_08,BP2_2_09,BP2_2_10,BP2_2_11,BP2_2_12,BP2_2_13,BP2_2_14,BP2_2_15,BP2_2_16,BP2_2_17,BP2_2_18,BP2_3_1,BP2_3_2,BP2_3_3,BP2_3_4,BP2_3_5,BP2_3_6,BP2_3_7,BP2_4_1,BP2_4_2,BP2_4_3,BP2_4_4,BP2_4_5,BP2_4_6,BP2_4_7,BP2_4_8,BP2_4_9,BP2_4_10,BP2_4_11,BP3_1_01,BP3_1_02,BP3_1_03,BP3_1_04,BP3_1_05,BP3_1_06,BP3_1_07,BP3_1_08,BP3_1_09,BP3_1_10,BP3_1_11,BP3_1_12,BP3_1_13,BP3_1_14,BP3_1_15,BP3_1_99,BP3_2,FAC_SEL,DOMINIO,EST,UPM_DIS,EST_DIS
100188,1,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,1,2,3,1,1,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,2,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,2,,2,1,2,2,,,3,2,2,2,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2895,U,3,10,960
100188,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,2,3,2,3,2,2,3,3,2,1,3,3,1,2,2,2,2,2,2,1,1,2,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,3,4,3,3,3,1,3,4,3,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2895,U,3,10,960
100188,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,3,1,3,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1,1,,1,1,2,1,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,965,U,3,10,960
100188,4,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,3,1,3,1,1,3,3,3,1,2,3,3,2,2,1,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,1,,,,,4,2,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,965,U,3,10,960
100188,5,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,3,2,3,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,1,2,3,1,,,1,,4,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,965,U,3,10,960
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,2,2,3,2,1,2,2,1,1,2,1,4,2,2,1,1,2,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,1,1,,,,1,2,2,,,,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4,2647,U,4,20,970
100221,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,1,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1764,U,4,20,970
100221,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,1,1,3,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,3,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,882,U,4,20,970
100221,4,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,1,2,3,2,2,2,2,1,2,1,2,3,2,1,2,1,1,2,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,4,3,1,4,3,4,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,3,2647,U,4,20,970
100221,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1764,U,4,20,970
100295,1,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,1,1,3,1,3,1,1,1,3,3,1,3,3,9,2,2,2,2,9,2,2,2,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,1,1,,2,1,,2,9,,1,1,,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,823,U,4,30,970
100295,4,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,2,1,1,1,3,1,2,2,2,3,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,1,1,,3,9,,2,1,,4,9,,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,4,1645,U,4,30,970
100295,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,2,2,1,2,2,2,1,2,2,2,2,2,2,9,1,1,1,1,9,2,1,1,2,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,2,1,1,,,,,9,2,,,,,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1645,U,4,30,970
100310,1,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,1,2,3,3,1,2,2,3,1,1,3,4,2,2,1,2,2,2,1,3,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,2,2,2,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,1432,U,3,40,960
100310,3,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,1,2,3,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,2,2,2,,3,2,2,2,3,,3,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,2149,U,3,40,960
100310,4,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,2,3,1,3,3,3,3,3,3,1,3,3,9,1,2,2,2,2,2,1,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,2,1,2,,,,,4,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,716,U,3,40,960
100310,5,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,2,3,1,3,3,1,1,1,3,1,1,1,2,2,1,2,2,2,2,1,1,1,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,2,1,1,,,2,,2,3,,,2,,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,716,U,3,40,960
100374,1,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,2282,U,4,50,970
100374,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,1,1,2,3,2,2,1,2,2,1,1,2,3,2,1,1,1,1,2,2,2,2,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,1,2,,4,4,,3,,,4,4,,2,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,3,2282,U,4,50,970
100374,3,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,1,1,2,3,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,2,2,9,,3,,4,3,2,,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,3,3804,U,4,50,970
100374,4,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,B,-,4,1,1,1,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,1,1,,2,,2,1,1,,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,761,U,4,50,970
100391,1,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,1,1,3,1,3,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,2,2,2,,1,,2,2,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1538,U,3,60,960
