"ID_VIV","ID_PER","UPM","VIV_SEL","R_INF","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","N_REN","NOM","C_RES","PAREN","SEX","EDAD","NAC_D","NAC_M","COD","COD_SEL","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188.049
","0100188.049.01
","0100188
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","01
","-
","
","1
","1
","59
","
","
","2
","A
","02
","6
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100188.049
","0100188.049.02
","0100188
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","02
","-
","
","2
","2
","59
","
","
","2
","A
","04
","3
","2
","5
","2
","3
","1012
","0
","U
","3
","00010
","1390
"
"0100188.049
","0100188.049.03
","0100188
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","03
","-
","
","3
","1
","38
","
","
","1
","A
","03
","3
","2
","8
","4
","
","1012
","4046
","U
","3
","00010
","1390
"
"0100188.049
","0100188.049.04
","0100188
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","04
","-
","
","3
","1
","26
","
","
","2
","A
","03
","3
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.01
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","01
","-
","
","1
","1
","72
","
","
","2
","A
","03
","2
","2
","8
","4
","
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.02
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","02
","-
","
","2
","2
","64
","
","
","2
","A
","03
","2
","2
","5
","4
","
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.03
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","03
","-
","
","3
","2
","44
","
","
","2
","A
","08
","5
","2
","8
","4
","
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.04
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","04
","-
","
","3
","2
","34
","
","
","2
","A
","06
","3
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.05
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","05
","-
","
","3
","2
","35
","
","
","2
","A
","03
","3
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.06
","0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","06
","-
","
","3
","1
","36
","
","
","1
","A
","06
","3
","2
","1
","
","2
","1012
","6069
","U
","3
","00010
","1390
"
"0100188.093
","0100188.093.01
","0100188
","03
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","01
","-
","
","1
","1
","83
","
","
","2
","A
","04
","3
","2
","6
","4
","
","1012
","0
","U
","3
","00010
","1390
"
"0100188.093
","0100188.093.02
","0100188
","03
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","02
","-
","
","2
","2
","73
","
","
","2
","A
","02
","6
","2
","5
","4
","
","1012
","0
","U
","3
","00010
","1390
"
"0100188.093
","0100188.093.03
","0100188
","03
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","03
","-
","
","3
","1
","48
","
","
","1
","A
","08
","5
","2
","1
","
","3
","1012
","3035
","U
","3
","00010
","1390
"
"0100188.111
","0100188.111.01
","0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","01
","-
","
","1
","2
","69
","
","
","1
","A
","02
","6
","2
","5
","4
","
","1012
","3035
","U
","3
","00010
","1390
"
"0100188.111
","0100188.111.02
","0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","02
","-
","
","3
","1
","42
","
","
","2
","A
","08
","5
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100188.111
","0100188.111.03
","0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","03
","-
","
","3
","1
","34
","
","
","2
","A
","08
","5
","2
","1
","
","2
","1012
","0
","U
","3
","00010
","1390
"
"0100295.009
","0100295.009.01
","0100295
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","01
","-
","1
","1
","1
","63
","
","
","1
","A
","08
","2
","2
","1
","
","3
","852
","1704
","U
","4
","00020
","1400
"
"0100295.009
","0100295.009.02
","0100295
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","02
","-
","1
","3
","2
","31
","
","
","2
","A
","08
","5
","2
","1
","
","2
","852
","0
","U
","4
","00020
","1400
"
"0100295.009
","0100295.009.03
","0100295
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","03
","-
","1
","5
","2
","11
","
","
","
","A
","02
","5
","1
","
","
","
","852
","0
","U
","4
","00020
","1400
"
"0100295.039
","0100295.039.01
","0100295
","03
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","01
","-
","1
","1
","1
","36
","
","
","2
","A
","08
","5
","2
","1
","
","3
","852
","0
","U
","4
","00020
","1400
"
"0100295.039
","0100295.039.02
","0100295
","03
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","02
","-
","1
","2
","2
","36
","
","
","1
","A
","08
","5
","2
","1
","
","3
","852
","1704
","U
","4
","00020
","1400
"
